datetime;Level 101 (m);Level 102 (m);Level 103(m)
25/02/2024;0,5893;0,5818;0,8706
25/02/2024;0,5894;0,5816;0,8707
25/02/2024;0,5899;0,5816;0,8709
25/02/2024;0,5896;0,5815;0,8709
25/02/2024;0,5892;0,5811;0,8707
25/02/2024;0,5889;0,5812;0,8705
25/02/2024;0,5891;0,581;0,8705
25/02/2024;0,5891;0,5812;0,8704
25/02/2024;0,5888;0,5806;0,8705
25/02/2024;0,5887;0,5804;0,8704
25/02/2024;0,5884;0,5798;0,8699
25/02/2024;0,5886;0,5802;0,8703
25/02/2024;0,5891;0,58;0,8706
25/02/2024;0,5854;0,5802;0,8703
25/02/2024;0,5854;0,5796;0,87
25/02/2024;0,5852;0,5801;0,87
25/02/2024;0,5853;0,58;0,8699
25/02/2024;0,5856;0,5801;0,8702
25/02/2024;0,5856;0,5799;0,8702
25/02/2024;0,586;0,5754;0,8707
25/02/2024;0,5864;0,5752;0,8709
25/02/2024;0,5866;0,575;0,8709
25/02/2024;0,5861;0,5747;0,8704
25/02/2024;0,5866;0,575;0,8708
25/02/2024;0,5856;0,5742;0,8704
25/02/2024;0,5867;0,5746;0,8708
25/02/2024;0,5866;0,5747;0,8707
25/02/2024;0,587;0,5746;0,871
25/02/2024;0,5874;0,5746;0,8712
25/02/2024;0,5866;0,5743;0,8706
25/02/2024;0,5868;0,5744;0,8709
25/02/2024;0,5863;0,5735;0,8705
25/02/2024;0,5865;0,5733;0,8703
25/02/2024;0,5866;0,5732;0,8702
25/02/2024;0,5867;0,5732;0,8704
25/02/2024;0,5866;0,5733;0,8707
25/02/2024;0,5864;0,573;0,8704
25/02/2024;0,5867;0,573;0,8707
25/02/2024;0,5865;0,5728;0,8709
25/02/2024;0,5863;0,5729;0,871
